ID,Amount,Distances,Relationships
15,15.99,"[0.0, 8.260513305664062, 28.425582885742188, 35.76548767089844, 36.14261245727539, 37.757808685302734, 39.17707824707031, 40.119667053222656, 40.752044677734375, 41.23902130126953]","[15, 44, 4, 43, 93, 67, 78, 16, 98, 97]"
16,12.99,"[0.0, 6.453217029571533, 7.438625335693359, 7.833322525024414, 9.808462142944336, 9.868654251098633, 9.978304862976074, 10.399150848388672, 10.972057342529297, 11.140384674072266]","[16, 92, 29, 45, 13, 30, 53, 50, 26, 72]"
17,0.89,"[0.0, 6.103854179382324, 8.902435302734375, 18.064809799194336, 18.357547760009766, 22.50688362121582, 22.50688362121582, 22.51638412475586, 22.51638412475586, 22.951370239257812]","[17, 9, 5, 1, 54, 33, 32, 34, 35, 73]"
18,46.8,"[0.0, 107.26017761230469, 114.48654174804688, 136.65261840820312, 138.16497802734375, 142.50872802734375, 142.8282470703125, 146.01071166992188, 146.13214111328125, 150.398193359375]","[18, 25, 14, 24, 29, 73, 85, 53, 16, 97]"
19,5,"[0.0, 2.5511362552642822, 13.452184677124023, 19.63209342956543, 29.41285514831543, 29.586685180664062, 29.818187713623047, 30.194568634033203, 30.223752975463867, 30.90726089477539]","[19, 10, 12, 27, 31, 81, 58, 99, 91, 59]"
20,231.71,"[0.0, 20.65298843383789, 21.063552856445312, 21.578712463378906, 21.843929290771484, 23.463537216186523, 24.112716674804688, 25.19475555419922, 25.759233474731445, 26.099327087402344]","[20, 29, 39, 75, 70, 58, 16, 92, 45, 59]"
21,34.09,"[0.0, 16.808263778686523, 17.95953369140625, 23.611251831054688, 28.161914825439453, 28.362499237060547, 28.604944229125977, 28.836227416992188, 29.16187286376953, 30.06487274169922]","[21, 96, 68, 22, 81, 38, 58, 65, 70, 31]"
22,2.28,"[0.0, 9.011374473571777, 13.145164489746094, 16.648666381835938, 17.39836311340332, 17.983856201171875, 20.473295211791992, 22.43901252746582, 23.611251831054688, 24.216087341308594]","[22, 62, 81, 31, 91, 58, 70, 6, 21, 13]"
23,22.75,"[0.0, 31.39775276184082, 39.968624114990234, 51.872066497802734, 52.095130920410156, 52.42292785644531, 53.9578742980957, 54.1264762878418, 55.54474639892578, 55.867008209228516]","[23, 47, 56, 91, 53, 16, 46, 42, 28, 92]"
24,0.89,"[0.0, 25.314983367919922, 25.80128288269043, 25.958248138427734, 28.834686279296875, 30.127796173095703, 32.99284362792969, 34.25123977661133, 35.36244201660156, 36.57929992675781]","[24, 71, 57, 8, 63, 94, 11, 79, 25, 40]"
25,26.43,"[0.0, 15.51176643371582, 18.97728729248047, 19.776077270507812, 20.357685089111328, 21.852813720703125, 22.31648826599121, 22.523195266723633, 22.59331512451172, 23.116863250732422]","[25, 36, 93, 30, 97, 99, 95, 53, 80, 49]"
26,41.88,"[0.0, 8.24990463256836, 9.865279197692871, 10.265323638916016, 10.925355911254883, 10.972057342529297, 11.925741195678711, 12.377071380615234, 12.578509330749512, 12.832035064697266]","[26, 92, 72, 91, 80, 16, 50, 45, 30, 99]"
27,16,"[0.0, 15.581604957580566, 19.028278350830078, 19.213726043701172, 19.63209342956543, 20.905433654785156, 21.325422286987305, 21.518733978271484, 21.773494720458984, 22.158737182617188]","[27, 91, 99, 80, 19, 26, 61, 72, 54, 12]"
28,33,"[0.0, 4.657788276672363, 5.163356781005859, 5.743892669677734, 9.672152519226074, 12.786097526550293, 13.663518905639648, 13.97360610961914, 15.137967109680176, 15.349876403808594]","[28, 49, 42, 97, 55, 76, 92, 56, 45, 95]"
29,12.99,"[0.0, 5.958531856536865, 6.0101423263549805, 6.52174711227417, 7.400040149688721, 7.438625335693359, 8.623260498046875, 9.866424560546875, 10.06373119354248, 12.327674865722656]","[29, 70, 58, 39, 31, 16, 81, 75, 53, 59]"
30,17.28,"[0.0, 6.011274337768555, 6.199406623840332, 6.425473213195801, 6.895212173461914, 8.338481903076172, 8.380291938781738, 8.875232696533203, 9.481218338012695, 9.632429122924805]","[30, 80, 45, 99, 54, 72, 84, 92, 6, 13]"
31,4.45,"[0.0, 0.6807290315628052, 1.6354159116744995, 1.9036974906921387, 3.9255924224853516, 7.400040149688721, 10.201318740844727, 12.229190826416016, 12.403440475463867, 12.485749244689941]","[31, 58, 70, 81, 39, 29, 75, 53, 92, 34]"
32,6.14,"[0.0, 0.0, 0.0016012296546250582, 0.0016012296546250582, 8.042430877685547, 10.346105575561523, 10.60434627532959, 10.854692459106445, 12.497810363769531, 13.304685592651367]","[32, 33, 35, 34, 76, 70, 39, 58, 31, 75]"
33,6.14,"[0.0, 0.0, 0.0016012296546250582, 0.0016012296546250582, 8.042430877685547, 10.346105575561523, 10.60434627532959, 10.854692459106445, 12.497810363769531, 13.304685592651367]","[32, 33, 35, 34, 76, 70, 39, 58, 31, 75]"
34,1.77,"[0.0, 0.0, 0.0016012296546250582, 0.0016012296546250582, 8.034760475158691, 10.325006484985352, 10.590642929077148, 10.841255187988281, 12.485749244689941, 13.28866958618164]","[34, 35, 32, 33, 76, 70, 39, 58, 31, 29]"
35,1.77,"[0.0, 0.0, 0.0016012296546250582, 0.0016012296546250582, 8.034760475158691, 10.325006484985352, 10.590642929077148, 10.841255187988281, 12.485749244689941, 13.28866958618164]","[34, 35, 32, 33, 76, 70, 39, 58, 31, 29]"
36,30.49,"[0.0, 8.804991722106934, 10.187488555908203, 11.481399536132812, 12.248992919921875, 13.536808013916016, 13.933842658996582, 14.696160316467285, 14.755043029785156, 15.355847358703613]","[36, 95, 97, 30, 42, 66, 99, 80, 76, 49]"
37,1.8,"[0.0, 1.8209033012390137, 12.354959487915039, 13.879013061523438, 14.093067169189453, 16.179431915283203, 16.879806518554688, 16.95993423461914, 17.331771850585938, 18.623207092285156]","[37, 41, 49, 76, 87, 28, 70, 39, 58, 31]"
38,20.53,"[0.0, 6.568899154663086, 17.945236206054688, 18.492233276367188, 22.373043060302734, 24.44997787475586, 26.589786529541016, 27.865535736083984, 28.362499237060547, 30.100862503051758]","[38, 68, 96, 45, 92, 72, 84, 16, 21, 39]"
39,6.54,"[0.0, 1.2525579929351807, 1.4712588787078857, 2.1054952144622803, 3.9255924224853516, 6.376873970031738, 6.52174711227417, 7.028327941894531, 9.947614669799805, 10.590642929077148]","[39, 70, 75, 58, 31, 92, 29, 81, 45, 34]"
40,29.89,"[0.0, 15.963310241699219, 16.51680564880371, 23.11177635192871, 25.662288665771484, 26.89840316772461, 28.3488826751709, 31.839576721191406, 32.7345085144043, 35.81077194213867]","[40, 94, 63, 8, 71, 57, 79, 30, 88, 11]"
41,2.35,"[0.0, 1.8209033012390137, 19.464088439941406, 22.395761489868164, 23.100605010986328, 24.159353256225586, 24.168672561645508, 24.565492630004883, 25.75518798828125, 25.872859954833984]","[41, 37, 49, 87, 76, 39, 70, 58, 28, 31]"
42,14.8,"[0.0, 2.3338496685028076, 3.663675308227539, 5.163356781005859, 12.248992919921875, 13.213939666748047, 14.456771850585938, 14.645683288574219, 15.14898681640625, 15.295560836791992]","[42, 49, 97, 28, 36, 92, 76, 95, 45, 56]"
43,9.1,"[0.0, 21.779720306396484, 28.17452049255371, 28.8846435546875, 29.373361587524414, 29.373361587524414, 29.430118560791016, 29.430118560791016, 31.17020034790039, 31.654809951782227]","[43, 76, 29, 5, 35, 34, 33, 32, 9, 44]"
44,15.99,"[0.0, 8.260513305664062, 31.654809951782227, 34.31024169921875, 35.760108947753906, 40.25840759277344, 42.87943649291992, 43.99441909790039, 44.51959991455078, 46.20316696166992]","[44, 15, 43, 4, 93, 16, 26, 91, 9, 42]"
45,21.34,"[0.0, 3.1251039505004883, 3.909893035888672, 5.206189155578613, 6.199406623840332, 7.686471939086914, 7.833322525024414, 9.941862106323242, 9.947614669799805, 10.538610458374023]","[45, 92, 50, 72, 30, 84, 16, 75, 39, 13]"
46,18.95,"[0.0, 21.056930541992188, 23.236190795898438, 23.61949920654297, 24.310688018798828, 24.62004852294922, 25.03075408935547, 25.261337280273438, 25.70152473449707, 25.88739585876465]","[46, 93, 54, 5, 56, 6, 99, 17, 80, 97]"
47,9.99,"[0.0, 11.366020202636719, 13.837836265563965, 13.875215530395508, 14.681069374084473, 17.169736862182617, 17.978038787841797, 18.946613311767578, 19.256698608398438, 19.511159896850586]","[47, 50, 92, 45, 30, 13, 16, 76, 72, 26]"
48,30.9,"[0.0, 18.410015106201172, 33.49475860595703, 34.151947021484375, 34.98783493041992, 39.50982666015625, 41.35089874267578, 42.34069061279297, 42.348426818847656, 43.23314666748047]","[48, 61, 27, 54, 3, 30, 80, 84, 99, 16]"
49,20.22,"[0.0, 2.3338496685028076, 4.364157676696777, 4.657788276672363, 12.348703384399414, 12.354959487915039, 12.930242538452148, 14.548666000366211, 14.586753845214844, 15.167001724243164]","[49, 42, 97, 28, 55, 37, 92, 45, 76, 56]"
50,0.99,"[0.0, 3.909893035888672, 5.809033393859863, 10.399150848388672, 10.570043563842773, 11.091123580932617, 11.366020202636719, 11.925741195678711, 12.525842666625977, 12.784683227539062]","[50, 45, 92, 16, 30, 75, 47, 26, 72, 39]"
51,1402.95,"[0.0, 114.81616973876953, 121.03539276123047, 123.6513671875, 123.95857238769531, 125.35508728027344, 126.19389343261719, 126.5196762084961, 126.73365020751953, 127.71574401855469]","[51, 47, 14, 25, 76, 87, 70, 91, 13, 64]"
52,7.99,"[0.0, 28.211177825927734, 30.283212661743164, 32.09596633911133, 32.695335388183594, 32.93435287475586, 33.225650787353516, 34.33250045776367, 34.4529914855957, 35.343162536621094]","[52, 97, 49, 55, 28, 42, 98, 72, 36, 64]"
53,2.09,"[0.0, 9.978304862976074, 10.06373119354248, 11.664667129516602, 12.229190826416016, 12.515239715576172, 12.927302360534668, 13.636037826538086, 14.578481674194336, 15.438231468200684]","[53, 16, 29, 91, 31, 13, 81, 58, 6, 70]"
54,0.99,"[0.0, 3.753864288330078, 3.9515583515167236, 4.720215320587158, 6.895212173461914, 8.191837310791016, 9.66415786743164, 10.781057357788086, 13.212017059326172, 13.957651138305664]","[54, 99, 80, 84, 30, 60, 72, 1, 91, 6]"
55,21.76,"[0.0, 8.90512466430664, 9.672152519226074, 12.348703384399414, 12.362297058105469, 16.853748321533203, 22.934967041015625, 23.694183349609375, 24.956029891967773, 25.990720748901367]","[55, 64, 28, 49, 97, 42, 56, 37, 4, 87]"
56,120.96,"[0.0, 13.97360610961914, 15.167001724243164, 15.295560836791992, 17.304441452026367, 22.934967041015625, 24.0500545501709, 24.310688018798828, 25.576431274414062, 25.894533157348633]","[56, 28, 49, 42, 97, 55, 92, 46, 76, 45]"
57,13.84,"[0.0, 3.2734580039978027, 5.312923908233643, 10.840264320373535, 11.708539962768555, 13.207883834838867, 21.84787368774414, 25.80128288269043, 26.89840316772461, 31.613624572753906]","[57, 8, 79, 71, 94, 63, 11, 24, 40, 34]"
58,13.84,"[0.0, 0.332722544670105, 0.6807290315628052, 1.5420722961425781, 2.1054952144622803, 6.0101423263549805, 6.845035076141357, 9.633600234985352, 10.841255187988281, 10.841255187988281]","[58, 70, 31, 81, 39, 29, 75, 92, 34, 35]"
59,2.67,"[0.0, 1.8592922687530518, 6.092944145202637, 7.274609088897705, 7.603495121002197, 10.209877014160156, 10.594066619873047, 10.611797332763672, 11.381391525268555, 11.683242797851562]","[59, 1, 90, 84, 72, 5, 80, 39, 77, 99]"
60,169.05,"[0.0, 8.191837310791016, 10.08845043182373, 10.303131103515625, 10.408073425292969, 11.613420486450195, 13.090018272399902, 14.614215850830078, 14.948363304138184, 15.051595687866211]","[60, 54, 80, 99, 84, 30, 72, 77, 90, 1]"
61,96.94,"[0.0, 18.410015106201172, 21.325422286987305, 27.13577651977539, 27.78838539123535, 29.29749298095703, 29.82558822631836, 30.14512825012207, 30.36248779296875, 30.787506103515625]","[61, 48, 27, 10, 53, 30, 99, 16, 80, 54]"
62,34.13,"[0.0, 8.64390754699707, 9.011374473571777, 15.847845077514648, 17.177265167236328, 19.05722427368164, 19.18495750427246, 19.415569305419922, 20.786054611206055, 21.077360153198242]","[62, 91, 22, 13, 99, 80, 81, 31, 72, 58]"
63,32.51,"[0.0, 7.087334632873535, 7.860841274261475, 13.207883834838867, 14.355247497558594, 15.015986442565918, 15.457921981811523, 16.51680564880371, 19.618436813354492, 24.798221588134766]","[63, 79, 8, 57, 94, 71, 88, 40, 11, 36]"
64,243.66,"[0.0, 8.90512466430664, 19.644800186157227, 21.479862213134766, 24.284854888916016, 25.860363006591797, 26.206113815307617, 27.94321060180664, 29.535022735595703, 34.24890899658203]","[64, 55, 28, 49, 97, 4, 42, 56, 78, 74]"
65,21.55,"[0.0, 23.317584991455078, 28.836227416992188, 30.77294158935547, 32.116249084472656, 32.861995697021484, 33.919166564941406, 34.71562576293945, 35.343284606933594, 35.530067443847656]","[65, 68, 21, 87, 76, 81, 38, 5, 31, 96]"
66,59.9,"[0.0, 13.536808013916016, 22.083627700805664, 22.77090072631836, 25.109325408935547, 25.809200286865234, 25.906829833984375, 28.893760681152344, 29.134227752685547, 29.94932746887207]","[66, 36, 42, 97, 67, 78, 95, 30, 98, 49]"
67,0.75,"[0.0, 4.429985523223877, 17.567014694213867, 18.835126876831055, 23.0322208404541, 23.804424285888672, 25.109325408935547, 25.238788604736328, 25.62921905517578, 26.061674118041992]","[67, 98, 97, 36, 42, 95, 66, 78, 4, 49]"
68,45.71,"[0.0, 6.568899154663086, 17.95953369140625, 20.905376434326172, 22.538501739501953, 22.97913932800293, 23.317584991455078, 23.566509246826172, 23.963863372802734, 24.538856506347656]","[68, 38, 21, 96, 39, 70, 65, 58, 45, 75]"
69,35,"[0.0, 57.634647369384766, 64.47013854980469, 65.91825866699219, 66.84463500976562, 74.70086669921875, 81.56437683105469, 82.5866928100586, 83.91920471191406, 84.54447937011719]","[69, 98, 67, 36, 25, 52, 61, 95, 30, 99]"
70,67.97,"[0.0, 0.332722544670105, 1.2525579929351807, 1.6354159116744995, 2.743849039077759, 4.8612165451049805, 5.958531856536865, 8.191740036010742, 10.325006484985352, 10.325006484985352]","[70, 58, 39, 31, 81, 75, 29, 92, 34, 35]"
71,11.45,"[0.0, 5.473842620849609, 10.840264320373535, 14.058189392089844, 14.965944290161133, 15.015986442565918, 16.612659454345703, 25.314983367919922, 25.662288665771484, 29.61214828491211]","[71, 8, 57, 94, 11, 63, 79, 24, 40, 87]"
72,3.63,"[0.0, 3.0897433757781982, 3.09096097946167, 3.7642171382904053, 5.206189155578613, 7.603495121002197, 8.233558654785156, 8.338481903076172, 8.960776329040527, 9.66415786743164]","[72, 80, 84, 99, 45, 59, 92, 30, 1, 54]"
73,21.66,"[0.0, 14.009038925170898, 14.009038925170898, 14.016998291015625, 14.016998291015625, 14.91179084777832, 15.90050220489502, 16.460979461669922, 17.509052276611328, 17.666318893432617]","[73, 35, 34, 33, 32, 76, 36, 87, 5, 86]"
74,26.72,"[0.0, 18.021860122680664, 21.060466766357422, 22.175939559936523, 22.431873321533203, 24.503055572509766, 27.1060733795166, 28.141700744628906, 28.700395584106445, 31.267763137817383]","[74, 49, 42, 28, 87, 4, 97, 55, 25, 37]"
75,13.18,"[0.0, 1.4712588787078857, 4.8612165451049805, 6.553698539733887, 6.845035076141357, 9.866424560546875, 9.941862106323242, 10.201318740844727, 11.091123580932617, 11.790810585021973]","[75, 39, 70, 92, 58, 29, 45, 31, 50, 59]"
76,59.99,"[0.0, 8.034760475158691, 8.034760475158691, 8.042430877685547, 8.042430877685547, 11.968706130981445, 12.169416427612305, 12.786097526550293, 12.834978103637695, 12.949102401733398]","[76, 34, 35, 32, 33, 39, 70, 28, 58, 95]"
77,135.51,"[0.0, 6.993211269378662, 9.435476303100586, 11.381391525268555, 14.274887084960938, 14.614215850830078, 14.722888946533203, 15.591240882873535, 16.19817352294922, 16.274173736572266]","[77, 90, 1, 59, 80, 60, 99, 70, 72, 84]"
78,9.79,"[0.0, 17.12945556640625, 17.86615562438965, 18.51654624938965, 19.447052001953125, 19.845247268676758, 20.12967300415039, 20.343894958496094, 20.372875213623047, 20.372875213623047]","[78, 5, 97, 42, 9, 87, 76, 49, 33, 32]"
79,14.8,"[0.0, 4.297268867492676, 5.312923908233643, 7.087334632873535, 12.707454681396484, 16.612659454345703, 22.521800994873047, 25.855445861816406, 28.3488826751709, 29.556900024414062]","[79, 8, 57, 63, 94, 71, 11, 88, 40, 35]"
80,1.98,"[0.0, 0.20002713799476624, 3.0897433757781982, 3.9515583515167236, 4.271479606628418, 6.011274337768555, 9.483229637145996, 9.726642608642578, 10.08845043182373, 10.569988250732422]","[80, 99, 72, 54, 84, 30, 91, 1, 60, 45]"
81,6.67,"[0.0, 1.5420722961425781, 1.9036974906921387, 2.743849039077759, 7.028327941894531, 8.623260498046875, 9.553611755371094, 12.876100540161133, 12.927302360534668, 13.145164489746094]","[81, 58, 31, 70, 39, 29, 6, 91, 53, 22]"
82,1.46,"[0.0, 162.06619262695312, 162.9216766357422, 171.045654296875, 181.62132263183594, 181.6863555908203, 190.40139770507812, 190.44448852539062, 194.58578491210938, 194.88560485839844]","[82, 78, 66, 4, 67, 83, 98, 36, 95, 7]"
83,89.17,"[0.0, 63.90875244140625, 79.0394287109375, 79.0394287109375, 79.0793685913086, 79.0793685913086, 79.6519546508789, 80.12627410888672, 82.52347564697266, 84.35867309570312]","[83, 66, 35, 34, 32, 33, 88, 95, 36, 78]"
84,7.53,"[0.0, 3.09096097946167, 4.271479606628418, 4.720215320587158, 5.058976173400879, 6.253859996795654, 7.274609088897705, 7.686471939086914, 8.380291938781738, 10.408073425292969]","[84, 72, 80, 54, 99, 1, 59, 45, 30, 60]"
85,200.01,"[0.0, 87.51759338378906, 92.76099395751953, 92.76099395751953, 93.0067367553711, 93.0067367553711, 93.47257995605469, 95.54547119140625, 96.49090576171875, 97.13815307617188]","[85, 29, 34, 35, 32, 33, 16, 76, 43, 53]"
86,0.76,"[0.0, 14.519874572753906, 17.666318893432617, 20.492935180664062, 22.371734619140625, 22.371734619140625, 22.37175750732422, 22.37175750732422, 23.26690673828125, 24.27311897277832]","[86, 5, 73, 76, 33, 32, 34, 35, 36, 17]"
87,20.22,"[0.0, 14.093067169189453, 15.591031074523926, 16.015466690063477, 16.460979461669922, 16.69830322265625, 17.698726654052734, 17.761329650878906, 18.180368423461914, 18.94524574279785]","[87, 37, 76, 31, 73, 81, 49, 58, 97, 5]"
88,10.84,"[0.0, 15.457921981811523, 22.543922424316406, 25.855445861816406, 27.63690185546875, 32.7345085144043, 32.862815856933594, 34.42026138305664, 34.45642852783203, 38.50999450683594]","[88, 63, 11, 79, 8, 40, 94, 57, 71, 46]"
89,1142.02,"[0.0, 66.95467376708984, 72.0451431274414, 75.56917572021484, 75.680908203125, 75.90013122558594, 79.03732299804688, 79.45550537109375, 81.04037475585938, 81.58426666259766]","[89, 60, 15, 44, 91, 26, 54, 84, 12, 30]"
90,149.9,"[0.0, 6.092944145202637, 6.228065490722656, 6.993211269378662, 10.752951622009277, 13.267574310302734, 13.365446090698242, 13.435983657836914, 13.934209823608398, 14.795570373535156]","[90, 59, 1, 77, 72, 84, 80, 75, 39, 70]"
91,89.4,"[0.0, 8.574265480041504, 8.64390754699707, 9.483229637145996, 10.265323638916016, 11.546369552612305, 11.664667129516602, 12.516702651977539, 12.848493576049805, 12.876100540161133]","[91, 99, 62, 80, 26, 72, 53, 6, 30, 81]"
92,26.72,"[0.0, 3.1251039505004883, 5.809033393859863, 6.376873970031738, 6.453217029571533, 6.553698539733887, 7.668976783752441, 8.191740036010742, 8.233558654785156, 8.24990463256836]","[92, 45, 50, 39, 16, 75, 13, 70, 72, 26]"
93,5.99,"[0.0, 14.841751098632812, 17.06507110595703, 17.894973754882812, 18.97728729248047, 19.152090072631836, 19.241615295410156, 20.157272338867188, 20.821842193603516, 21.056930541992188]","[93, 5, 36, 53, 25, 99, 91, 87, 80, 46]"
94,34.7,"[0.0, 8.935296058654785, 11.708539962768555, 12.707454681396484, 14.058189392089844, 14.355247497558594, 15.963310241699219, 26.240177154541016, 26.37302017211914, 26.885936737060547]","[94, 8, 57, 79, 71, 63, 40, 81, 11, 30]"
95,54.99,"[0.0, 8.804991722106934, 11.341803550720215, 12.949102401733398, 13.65974235534668, 14.161895751953125, 14.161895751953125, 14.165032386779785, 14.165032386779785, 14.645683288574219]","[95, 36, 97, 76, 45, 32, 33, 34, 35, 42]"
96,7.55,"[0.0, 16.808263778686523, 17.945236206054688, 20.905376434326172, 24.695194244384766, 26.20243263244629, 29.22768783569336, 32.4281005859375, 33.20409393310547, 33.64847183227539]","[96, 21, 38, 68, 72, 84, 13, 59, 45, 92]"
97,19.85,"[0.0, 3.663675308227539, 4.364157676696777, 5.743892669677734, 10.187488555908203, 11.341803550720215, 12.362297058105469, 13.09395980834961, 14.85348129272461, 15.919792175292969]","[97, 42, 49, 28, 36, 95, 55, 76, 92, 16]"
98,28.28,"[0.0, 4.429985523223877, 18.954919815063477, 20.298904418945312, 20.564651489257812, 21.05980682373047, 25.686920166015625, 26.813377380371094, 27.349271774291992, 28.44085693359375]","[98, 67, 97, 42, 36, 49, 28, 4, 78, 13]"
99,15.99,"[0.0, 0.20002713799476624, 3.753864288330078, 3.7642171382904053, 5.058976173400879, 6.425473213195801, 8.574265480041504, 10.303131103515625, 10.88498306274414, 11.683242797851562]","[99, 80, 54, 72, 84, 30, 91, 60, 1, 59]"
